university,private,apps,accept,enroll,top10perc,top25perc,f_undergrad,p_undergrad,outstate,room_board,books,personal,phd,terminal,s_f_ratio,perc_alumni,expend,grad_rate,reject,perc_accept,perc_actually_came
Auburn University-Main Campus,No,7548,6791,3070,25,57,16262,1716,6300,3933,600,1908,85.0,91,16.7,18,6642,69,757,89.97,45.21
Augsburg College,Yes,662,513,257,12,30,2074,726,11902,4372,540,950,65.0,65,12.8,31,7836,58,149,77.49,50.1
Augustana College IL,Yes,1879,1658,497,36,69,1950,38,13353,4173,540,821,78.0,83,12.7,40,9220,71,221,88.24,29.98
Augustana College,Yes,761,725,306,21,58,1337,300,10990,3244,600,1021,66.0,70,10.4,30,6871,69,36,95.27,42.21
Austin College,Yes,948,798,295,42,74,1120,15,11280,4342,400,1150,81.0,95,13.0,33,11361,71,150,84.18,36.97
Averett College,Yes,627,556,172,16,40,777,538,9925,4135,750,1350,59.0,67,22.4,11,6523,48,71,88.68,30.94
Baker University,Yes,602,483,206,21,47,958,466,8620,4100,400,2250,58.0,68,11.0,21,6136,65,119,80.23,42.65
Baldwin-Wallace College,Yes,1690,1366,662,30,61,2718,1460,10995,4410,1000,1000,68.0,74,17.6,20,8086,85,324,80.83,48.46
Barat College,Yes,261,192,111,15,36,453,266,9690,4300,500,500,57.0,77,9.7,35,9337,71,69,73.56,57.81
Bard College,Yes,1910,838,285,50,85,1004,15,19264,6206,750,750,98.0,98,10.4,30,13894,79,1072,43.87,34.01
Barnard College,Yes,2496,1402,531,53,95,2121,69,17926,8124,600,850,83.0,93,10.3,33,12580,91,1094,56.17,37.87
Barry University,Yes,990,784,279,18,45,1811,3144,11290,5360,600,1800,76.0,78,12.6,11,9084,72,206,79.19,35.59
Baylor University,Yes,6075,5349,2367,34,66,9919,484,6450,3920,600,1346,71.0,76,18.5,38,7503,72,726,88.05,44.25
Beaver College,Yes,1163,850,348,23,56,878,519,12850,5400,400,800,78.0,89,12.2,30,8954,73,313,73.09,40.94
Bellarmine College,Yes,807,707,308,39,63,1198,605,8840,2950,750,1290,74.0,82,13.1,31,6668,84,100,87.61,43.56
Belmont Abbey College,Yes,632,494,129,17,36,709,131,9000,4850,300,2480,78.0,85,13.2,10,7550,52,138,78.16,26.11
Belmont University,Yes,1220,974,481,28,67,1964,623,7800,3664,650,900,61.0,61,11.1,19,7614,49,246,79.84,49.38
Bemidji State University,No,1208,877,546,12,36,3796,824,4425,2700,660,1800,57.0,62,19.6,16,3752,46,331,72.6,62.26
Bennington College,Yes,519,327,114,25,53,457,2,21700,4100,600,500,35.0,59,10.1,33,16364,55,192,63.01,34.86
Bentley College,Yes,3466,2330,640,20,60,3095,1533,13800,5510,630,850,87.0,87,17.5,20,10941,82,1136,67.22,27.47
Berry College,Yes,1858,1221,480,37,68,1620,49,8050,3940,350,2375,80.0,80,16.3,17,10511,63,637,65.72,39.31
Bethany College,Yes,878,816,200,16,41,706,62,8740,3363,550,1700,62.0,68,11.6,29,7718,48,62,92.94,24.51
Bethel College KS,Yes,202,184,122,19,42,537,101,8540,3580,500,1400,61.0,80,8.8,32,8324,56,18,91.09,66.3
Bethel College,Yes,502,384,104,11,28,347,74,6200,2900,600,800,63.0,63,11.7,13,7623,35,118,76.49,27.08
Bethune Cookman College,Yes,1646,1150,542,12,30,2128,82,5188,3396,650,2500,48.0,48,13.8,9,6817,58,496,69.87,47.13
Birmingham-Southern College,Yes,805,588,287,67,88,1376,207,11660,4325,400,900,74.0,79,14.0,34,8649,72,217,73.04,48.81
Blackburn College,Yes,500,336,156,25,55,421,27,6500,2700,500,1000,76.0,76,14.3,53,8377,51,164,67.2,46.43
Bluefield College,Yes,377,358,181,15,30,653,129,7150,4350,450,1500,61.0,67,17.8,3,6259,53,19,94.96,50.56
Bluffton College,Yes,692,514,209,20,50,760,81,9900,3990,400,900,76.0,71,13.3,19,9073,58,178,74.28,40.66
Boston University,Yes,20192,13007,3810,45,80,14971,3113,18420,6810,475,1025,80.0,81,11.9,16,16836,72,7185,64.42,29.29
Bowdoin College,Yes,3356,1019,418,76,100,1490,8,19030,5885,1495,875,93.0,96,11.2,52,20447,96,2337,30.36,41.02
Bowling Green State University,No,9251,7333,3076,14,45,13699,1213,7452,3352,600,1700,81.0,89,21.1,14,6918,67,1918,79.27,41.95
Bradford College,Yes,443,330,151,5,36,453,42,14080,6270,500,900,57.0,80,10.2,21,15387,46,113,74.49,45.76
Bradley University,Yes,3767,3414,1061,30,58,4531,643,10870,4440,2000,1522,75.0,81,14.4,21,7671,85,353,90.63,31.08
Brandeis University,Yes,4186,2743,740,48,77,2819,62,19380,6750,410,1000,90.0,97,9.8,24,17150,84,1443,65.53,26.98
Brenau University,Yes,367,274,158,12,41,917,479,9592,5879,500,700,71.0,80,13.7,12,5935,49,93,74.66,57.66
Brewton-Parker College,Yes,1436,1228,1202,10,26,1320,822,4371,2370,500,2000,62.0,62,12.6,10,4900,18,208,85.52,97.88
Briar Cliff College,Yes,392,351,155,16,44,738,430,10260,3597,600,1500,39.0,66,13.1,26,8355,58,41,89.54,44.16
Brigham Young University at Provo,Yes,7365,5402,4615,48,82,27378,1253,2340,3580,860,1220,76.0,76,20.5,40,7916,33,1963,73.35,85.43
Brown University,Yes,12586,3239,1462,87,95,5643,349,19528,5926,720,1100,99.0,100,7.6,39,20440,97,9347,25.73,45.14
Bryn Mawr College,Yes,1465,810,313,71,95,1088,16,18165,6750,500,1200,100.0,100,12.3,49,17449,89,655,55.29,38.64
Bucknell University,Yes,6548,3813,862,49,85,3316,31,18550,4750,800,1200,95.0,97,14.2,36,13675,93,2735,58.23,22.61
Buena Vista College,Yes,860,688,285,32,70,1928,442,13306,3797,450,950,62.0,69,8.8,10,6333,78,172,80.0,41.42
Butler University,Yes,2362,2037,700,40,68,2607,148,13130,4650,500,1600,77.0,81,10.9,29,9511,83,325,86.24,34.36
Cabrini College,Yes,599,494,224,8,28,1035,446,10518,6250,300,300,59.0,76,16.5,36,7117,71,105,82.47,45.34
Caldwell College,Yes,1011,604,213,17,42,693,868,8900,4600,425,1000,87.0,96,13.9,25,7922,55,407,59.74,35.26
California Lutheran University,Yes,563,247,247,23,52,1427,432,12950,5300,612,576,72.0,74,12.4,17,8985,60,316,43.87,100.0
California Polytechnic-San Luis,No,7811,3817,1650,47,73,12911,1404,7380,4877,612,2091,72.0,81,19.8,13,8453,59,3994,48.87,43.23
California State University at Fresno,No,4540,3294,1483,5,60,13494,1254,7706,4368,600,1926,90.0,90,21.2,8,7268,61,1246,72.56,45.02
Calvin College,Yes,1784,1512,913,29,56,3401,136,10230,3710,400,1210,75.0,81,14.8,41,7786,81,272,84.75,60.38
Campbell University,Yes,2087,1339,657,20,54,3191,1204,7550,2790,600,500,77.0,77,21.8,34,3739,63,748,64.16,49.07
Campbellsville College,Yes,848,587,298,25,55,935,184,6060,3070,600,1300,62.0,66,17.7,13,5391,49,261,69.22,50.77
Canisius College,Yes,2853,2193,753,16,34,2978,434,10750,5340,400,1130,90.0,92,14.6,26,7972,64,660,76.87,34.34
Capital University,Yes,1747,1382,449,34,66,1662,960,13050,4000,500,800,64.0,69,12.1,27,9557,83,365,79.11,32.49
Capitol College,Yes,100,90,35,10,52,282,331,8400,2812,300,2134,10.0,50,12.1,24,7976,52,10,90.0,38.89
Carleton College,Yes,2694,1579,489,75,93,1870,12,19292,3957,550,550,81.0,93,10.4,60,17960,91,1115,58.61,30.97
Carnegie Mellon University,Yes,8728,5201,1191,60,89,4265,291,17900,5690,450,1250,86.0,93,9.2,31,24386,74,3527,59.59,22.9
Carroll College,Yes,1160,991,352,19,55,1357,737,12200,3880,480,930,74.0,81,17.8,25,7666,79,169,85.43,35.52
Carson-Newman College,Yes,1096,951,464,27,62,1776,239,8150,3150,400,500,61.0,62,13.6,16,6716,67,145,86.77,48.79
Carthage College,Yes,1616,1427,434,20,43,1405,580,13125,3775,500,1300,74.0,89,15.9,22,7364,62,189,88.3,30.41
Case Western Reserve University,Yes,3877,3156,713,71,93,3051,513,15700,4730,525,1460,95.0,95,2.9,29,19733,67,721,81.4,22.59
Catawba College,Yes,1083,880,291,13,34,915,80,9270,4100,600,1860,75.0,82,13.5,27,8425,55,203,81.26,33.07
Catholic University of America,Yes,1754,1465,505,24,49,2159,211,13712,6408,526,1100,90.0,96,9.3,18,12751,75,289,83.52,34.47
Cedar Crest College,Yes,776,607,198,25,58,791,764,14340,5285,500,1000,58.0,83,11.7,39,10961,74,169,78.22,32.62
Cedarville College,Yes,1307,1090,616,25,55,2196,82,7344,4410,570,1000,50.0,52,15.3,34,6897,64,217,83.4,56.51
Centenary College,Yes,369,312,90,12,46,396,526,11400,5400,500,760,41.0,85,9.5,20,9583,24,57,84.55,28.85
Centenary College of Louisiana,Yes,495,434,210,35,55,775,44,8950,3490,600,1900,86.0,92,11.3,25,9685,66,61,87.68,48.39
Center for Creative Studies,Yes,601,396,203,1,20,525,323,11230,6643,2340,620,8.0,58,6.8,4,13025,47,205,65.89,51.26
Central College,Yes,1283,1113,401,31,65,1355,40,10938,3660,650,600,76.0,90,13.5,29,8444,67,170,86.75,36.03
Central Connecticut State University,No,4158,2532,902,6,24,6394,3881,5962,4444,500,985,69.0,73,16.7,4,4900,49,1626,60.89,35.62
Central Missouri State University,No,4681,4101,1436,10,35,8094,1596,4620,3288,300,2250,69.0,80,19.7,4,5501,50,580,87.61,35.02
Central Washington University,No,2785,2011,1007,8,65,6507,898,7242,3603,654,1416,67.0,89,18.1,0,6413,51,774,72.21,50.07
Central Wesleyan College,Yes,174,146,88,8,29,1047,33,8300,3080,600,600,62.0,62,15.2,18,3365,58,28,83.91,60.27
Centre College,Yes,1013,888,288,55,82,943,7,11850,4270,600,900,95.0,99,11.4,60,13118,74,125,87.66,32.43
Chapman University,Yes,959,771,351,23,48,1662,209,16624,5895,600,1100,72.0,80,12.8,6,12692,47,188,80.4,45.53
Chatham College,Yes,212,197,91,28,56,471,148,13500,5230,400,850,95.0,98,9.3,37,16095,52,15,92.92,46.19
Chestnut Hill College,Yes,342,254,126,25,64,518,232,10335,5015,700,850,71.0,71,8.3,29,7729,73,88,74.27,49.61
Christendom College,Yes,81,72,51,33,71,139,3,8730,3600,400,800,92.0,92,9.3,17,10922,58,9,88.89,70.83
Christian Brothers University,Yes,880,520,224,16,42,1068,364,9300,3260,600,900,81.0,81,11.1,24,8129,63,360,59.09,43.08
Claflin College,Yes,1196,697,499,21,47,959,13,4412,2460,500,1000,69.0,69,16.9,31,7083,21,499,58.28,71.59
Claremont McKenna College,Yes,1860,767,227,71,93,887,1,17000,6010,500,850,99.0,99,9.6,52,18443,87,1093,41.24,29.6
Clark University,Yes,2887,2059,457,30,61,1928,296,17500,4200,500,950,94.0,95,10.5,35,11951,79,828,71.32,22.2
Clarke College,Yes,460,340,167,14,45,604,350,10740,3676,350,900,67.0,71,11.0,27,7963,74,120,73.91,49.12
Clarkson University,Yes,2174,1953,557,35,68,2332,53,15960,5580,700,1300,95.0,95,15.8,32,11659,77,221,89.83,28.52
Clemson University,No,8065,5257,2301,37,65,11755,770,8116,3610,800,1618,82.0,88,18.0,17,7597,73,2808,65.18,43.77
Clinch Valley Coll. of  the Univ. of Virginia,No,689,561,250,15,30,1125,422,7168,3689,600,1900,67.0,67,18.1,9,4417,46,128,81.42,44.56
Coe College,Yes,1006,742,275,29,60,1127,205,13925,4390,500,2200,73.0,86,12.7,32,10141,67,264,73.76,37.06
Coker College,Yes,604,452,295,15,47,690,222,9888,4502,400,1000,64.0,77,12.1,39,8741,75,152,74.83,65.27
Colby College,Yes,2848,1319,456,58,84,1720,35,18930,5590,500,1000,83.0,94,10.2,41,15954,91,1529,46.31,34.57
Colgate University,Yes,4856,2492,727,46,75,2649,25,19510,5565,500,750,95.0,98,10.5,45,15494,93,2364,51.32,29.17
College Misericordia,Yes,1432,888,317,29,58,1121,493,10860,5760,550,900,56.0,62,12.9,23,8604,96,544,62.01,35.7
College of Charleston,No,4772,3140,1265,22,55,6851,1200,6120,3460,666,2316,73.0,78,17.2,18,4776,51,1632,65.8,40.29
College of Mount St. Joseph,Yes,798,620,238,14,41,1165,1232,9800,4430,400,1150,46.0,46,11.1,35,6889,100,178,77.69,38.39
College of Mount St. Vincent,Yes,946,648,177,23,46,707,432,11790,5770,500,1000,75.0,77,11.9,35,10015,83,298,68.5,27.31
College of Notre Dame,Yes,344,264,97,11,42,500,331,12600,5520,630,2250,77.0,80,10.4,7,9773,43,80,76.74,36.74
College of Notre Dame of Maryland,Yes,457,356,177,35,61,667,1983,11180,5620,600,700,64.0,64,11.5,32,7477,75,101,77.9,49.72
College of Saint Benedict,Yes,938,864,511,29,62,1715,103,12247,4221,500,600,70.0,88,13.1,26,8847,72,74,92.11,59.14
College of Saint Catherine,Yes,511,411,186,23,51,1692,562,12224,4440,450,1000,63.0,87,11.5,32,7315,77,100,80.43,45.26
College of Saint Elizabeth,Yes,444,359,122,34,53,493,968,10900,5250,380,1000,68.0,70,11.4,23,9447,78,85,80.86,33.98
College of Saint Rose,Yes,983,664,249,23,57,1698,894,9990,5666,800,1500,66.0,71,14.3,28,6084,64,319,67.55,37.5
College of Santa Fe,Yes,546,447,189,16,42,873,683,11138,4138,600,1200,40.0,74,14.0,7,8820,80,99,81.87,42.28
College of St. Joseph,Yes,141,118,55,12,21,201,173,8300,4850,450,1300,53.0,53,9.5,19,6936,76,23,83.69,46.61
College of St. Scholastica,Yes,672,596,278,29,60,1350,275,11844,3696,450,1146,54.0,76,11.6,33,8996,72,76,88.69,46.64
College of the Holy Cross,Yes,2994,1691,659,70,95,2675,22,18000,6300,400,900,92.0,96,11.3,55,12138,95,1303,56.48,38.97
College of William and Mary,No,7117,3106,1217,68,88,5186,134,11720,4298,600,800,89.0,92,12.1,31,9534,93,4011,43.64,39.18
College of Wooster,Yes,2100,1883,553,29,65,1704,1,16240,4690,500,500,84.0,96,11.1,43,14140,69,217,89.67,29.37
Colorado College,Yes,3207,1577,490,56,87,1892,7,17142,4190,450,1200,85.0,97,11.3,51,14664,84,1630,49.17,31.07
Colorado State University,No,9478,6312,2194,29,65,15646,1829,8412,4180,470,1800,87.0,89,19.2,10,7850,59,3166,66.6,34.76
Columbia College MO,Yes,314,158,132,10,28,690,5346,8294,3700,400,900,87.0,87,15.3,2,5015,37,156,50.32,83.54
Columbia College,Yes,737,614,242,21,67,968,237,10425,3975,500,1500,61.0,77,14.7,34,8693,76,123,83.31,39.41
Columbia University,Yes,6756,1930,871,78,96,3376,55,18624,6664,550,300,97.0,98,5.9,21,30639,99,4826,28.57,45.13
Concordia College at St. Paul,Yes,281,266,139,13,29,1049,181,10500,3750,450,950,69.0,75,12.8,18,6955,45,15,94.66,52.26
Concordia Lutheran College,Yes,232,216,106,16,34,534,172,6900,3800,450,1825,67.0,76,12.1,9,6875,42,16,93.1,49.07
Concordia University CA,Yes,688,497,144,30,75,641,101,10800,4440,570,1515,55.0,60,13.1,13,8415,55,191,72.24,28.97
Concordia University,Yes,528,403,186,22,56,1168,145,9216,4191,400,1000,56.0,64,12.1,13,7309,75,125,76.33,46.15
Converse College,Yes,440,407,149,35,70,643,80,12050,3700,500,900,63.0,76,10.2,31,10965,75,33,92.5,36.61
Cornell College,Yes,1538,1329,383,33,68,1140,10,15248,4323,550,800,71.0,76,12.2,31,10340,64,209,86.41,28.82
Creighton University,Yes,2967,2836,876,30,60,3450,644,10628,4372,650,2055,85.0,90,6.5,32,22906,85,131,95.58,30.89
Culver-Stockton College,Yes,1576,1110,274,24,55,992,112,8000,3700,400,500,51.0,52,14.1,28,5807,51,466,70.43,24.68
Cumberland College,Yes,995,789,398,26,47,1306,122,6230,3526,400,600,42.0,44,13.0,4,8189,63,206,79.3,50.44
D'Youville College,Yes,866,619,157,18,47,1074,336,8920,4310,680,1320,68.0,68,14.6,42,6898,46,247,71.48,25.36
Dana College,Yes,504,482,185,10,36,550,84,9130,3322,450,1450,46.0,51,12.6,25,8686,54,22,95.63,38.38
Daniel Webster College,Yes,585,508,153,12,30,460,536,12292,4934,500,500,61.0,61,22.2,10,8643,72,77,86.84,30.12
Davidson College,Yes,2373,956,452,77,96,1601,6,17295,5070,600,1011,95.0,97,12.0,46,17581,94,1417,40.29,47.28
Defiance College,Yes,571,461,174,10,26,645,283,10850,3670,400,1159,58.0,60,12.8,19,7505,56,110,80.74,37.74
Delta State University,No,967,945,459,15,48,2806,538,4528,1880,500,1200,49.0,63,17.1,16,5113,58,22,97.72,48.57
Denison University,Yes,2762,2279,533,32,60,1835,14,16900,4720,500,600,88.0,97,11.6,45,12423,81,483,82.51,23.39
DePauw University,Yes,1994,1656,495,50,80,1983,36,14300,5020,550,950,78.0,94,11.1,31,11525,82,338,83.05,29.89
Dickinson College,Yes,3014,2539,487,31,68,1889,62,18700,5000,595,1250,87.0,94,11.2,39,13861,87,475,84.24,19.18
Dickinson State University,No,434,412,319,10,30,1376,237,4486,2146,600,2000,50.0,64,16.5,28,4525,46,22,94.93,77.43
Dillard University,Yes,1998,1376,651,41,88,1539,45,6700,3650,500,2307,52.0,52,14.1,12,7566,61,622,68.87,47.31
Doane College,Yes,793,709,244,20,47,1022,411,9570,3000,400,1000,67.0,72,15.1,42,6852,60,84,89.41,34.41
Dominican College of Blauvelt,Yes,360,329,108,4,19,756,863,8310,5500,600,1800,43.0,43,12.7,5,5480,54,31,91.39,32.83
Dordt College,Yes,604,562,328,25,50,1048,56,9800,2650,450,2800,61.0,60,12.5,17,7325,87,42,93.05,58.36
Dowling College,Yes,1011,829,410,9,33,1059,2458,9000,3100,450,1413,77.0,78,12.4,7,11178,42,182,82.0,49.46
Drake University,Yes,2799,2573,839,34,65,3322,726,13420,4770,560,1675,88.0,93,15.0,24,9473,77,226,91.93,32.61
Drew University,Yes,2153,1580,321,56,84,1192,87,18432,5616,520,660,93.0,97,10.2,28,14907,83,573,73.39,20.32
Drury College,Yes,700,650,314,33,66,1065,48,8730,3523,500,750,82.0,92,13.2,35,9303,67,50,92.86,48.31
Duke University,Yes,13789,3893,1583,90,98,6188,53,18590,5950,625,1162,95.0,96,5.0,44,27206,97,9896,28.23,40.66
Earlham College,Yes,1358,1006,274,35,63,1028,13,15036,4056,600,600,90.0,94,10.6,46,14634,78,352,74.08,27.24
East Carolina University,No,9274,6362,2435,14,44,13171,1687,7248,3240,500,1700,74.0,78,13.2,18,9002,58,2912,68.6,38.27
East Tennessee State University,No,3330,2730,1303,15,36,6706,2640,5800,3000,600,2200,73.0,75,14.0,9,9825,42,600,81.98,47.73
Eastern College,Yes,458,369,165,16,42,1057,355,11190,4800,450,1230,60.0,60,13.6,22,8135,54,89,80.57,44.72
Eastern Connecticut State University,No,2172,1493,564,14,50,2766,1531,5962,4316,650,500,71.0,76,16.9,14,5719,50,679,68.74,37.78
Eastern Illinois University,No,5597,4253,1565,12,38,9161,845,5710,3066,120,1730,62.0,71,16.2,5,5682,76,1344,75.99,36.8
Eastern Mennonite College,Yes,486,440,227,19,48,903,59,9650,3800,600,1300,46.0,65,11.4,29,10188,82,46,90.53,51.59
Eastern Nazarene College,Yes,516,409,200,17,40,1238,30,8770,3500,450,700,58.0,58,17.3,17,6430,70,107,79.26,48.9
Eckerd College,Yes,1422,1109,366,33,65,1363,23,15360,4080,600,1000,82.0,89,12.8,26,15003,59,313,77.99,33.0
Elizabethtown College,Yes,2417,1843,426,36,70,1476,299,14190,4400,500,750,65.0,68,12.8,25,9815,81,574,76.25,23.11
Elmira College,Yes,1457,1045,345,27,50,1109,502,14990,4980,450,550,77.0,98,21.5,21,7502,64,412,71.72,33.01
Elms College,Yes,245,208,125,23,46,544,436,11800,4765,450,1700,71.0,71,11.3,21,8952,86,37,84.9,60.1
Elon College,Yes,3624,2786,858,11,39,2933,334,9100,3883,490,1777,70.0,74,18.9,34,6329,63,838,76.88,30.8
Embry Riddle Aeronautical University,Yes,3151,2584,958,14,40,4772,856,7800,3750,570,3020,37.0,43,16.5,4,12878,44,567,82.01,37.07
Emory & Henry College,Yes,765,646,226,30,60,809,32,8578,4408,700,1600,79.0,88,13.9,51,8061,82,119,84.44,34.98
Emory University,Yes,8506,4168,1236,76,97,5544,192,17600,6000,600,870,97.0,98,5.0,28,28457,96,4338,49.0,29.65
Emporia State University,No,1256,1256,853,43,79,3957,588,5401,3144,450,1888,72.0,75,19.3,4,5527,50,0,100.0,67.91
Erskine College,Yes,659,557,167,47,74,532,35,10485,3840,475,1246,76.0,80,13.5,47,7527,67,102,84.52,29.98
Eureka College,Yes,560,454,113,36,56,484,16,10955,3450,330,670,62.0,87,10.6,31,9552,53,106,81.07,24.89
Evergreen State College,No,1801,1101,438,14,50,3065,363,6297,4600,600,1323,75.0,78,18.1,14,8355,68,700,61.13,39.78
Fairfield University,Yes,4784,3346,781,30,66,2984,1037,15000,6200,700,1100,86.0,90,15.1,30,11220,94,1438,69.94,23.34
Fayetteville State University,No,1455,1064,452,1,16,2632,617,6806,2550,350,766,75.0,75,15.1,10,6972,24,391,73.13,42.48
Ferrum College,Yes,1339,1107,336,12,36,1051,82,9400,4200,500,1600,53.0,58,12.5,9,7967,22,232,82.67,30.35
Flagler College,Yes,1415,714,338,18,52,1345,44,5120,3200,500,2140,52.0,60,18.1,9,3930,69,701,50.46,47.34
Florida Institute of Technology,Yes,1947,1580,523,39,74,1863,233,13900,4140,750,1500,90.0,90,10.6,7,8923,57,367,81.15,33.1
Florida International University,No,3306,2079,1071,42,89,10208,9310,6597,2494,800,3028,81.0,96,13.9,20,6722,66,1227,62.89,51.52
Florida Southern College,Yes,1381,1040,374,20,44,1506,970,8025,4865,400,650,65.0,74,17.4,10,6339,68,341,75.31,35.96
Florida State University,No,11651,8683,3023,50,90,18906,3242,6680,4060,600,1020,80.0,89,23.1,15,7250,58,2968,74.53,34.82
Fontbonne College,Yes,291,245,126,16,49,981,337,8390,4100,350,1500,45.0,55,21.5,24,4607,62,46,84.19,51.43
Fordham University,Yes,4200,2874,942,30,55,4740,1646,14235,6965,600,1735,86.0,97,14.4,14,10864,80,1326,68.43,32.78
Fort Lewis College,No,3440,2823,1123,16,35,3793,486,6198,3320,500,2500,89.0,97,19.1,6,4362,46,617,82.06,39.78
Francis Marion University,No,1801,1655,819,13,38,3224,436,5840,3138,400,2430,76.0,76,19.1,8,5039,43,146,91.89,49.49
Franciscan University of Steubenville,Yes,553,452,228,22,49,1301,242,9650,4400,600,1000,57.0,69,14.9,8,6336,83,101,81.74,50.44
Franklin College,Yes,804,632,281,29,72,840,68,10390,4040,525,1345,54.0,78,12.5,37,11751,60,172,78.61,44.46
Franklin Pierce College,Yes,5187,4471,446,3,14,1818,1197,13320,4630,500,800,50.0,56,17.6,16,6418,51,716,86.2,9.98
Freed-Hardeman University,Yes,895,548,314,20,54,1174,50,5500,3340,600,1600,68.0,76,16.1,13,6078,62,347,61.23,57.3
Fresno Pacific College,Yes,346,274,146,51,87,704,63,9900,3670,630,1818,59.0,59,10.5,14,8095,54,72,79.19,53.28
Furman University,Yes,2161,1951,685,56,82,2371,175,13440,4048,600,1250,92.0,95,13.5,28,12940,82,210,90.28,35.11
Gannon University,Yes,2464,1908,678,24,57,2693,691,10970,4280,500,1380,47.0,51,13.3,18,7711,65,556,77.44,35.53
Gardner Webb University,Yes,1110,930,332,18,36,1603,374,8180,4270,500,500,65.0,58,15.2,12,5664,29,180,83.78,35.7
Geneva College,Yes,668,534,237,19,39,1306,258,9476,4820,500,1100,67.0,67,20.1,26,6786,74,134,79.94,44.38
George Fox College,Yes,809,726,294,27,52,1271,43,12500,4130,400,1050,53.0,53,13.5,22,7136,52,83,89.74,40.5
George Mason University,No,5653,4326,1727,17,29,9528,3822,10800,4840,580,1050,93.0,96,19.3,7,6751,46,1327,76.53,39.92
George Washington University,Yes,7875,5062,1492,38,71,5471,1470,17450,6328,700,950,92.0,93,7.6,15,14745,72,2813,64.28,29.47
Georgetown College,Yes,727,693,286,30,55,1063,48,8100,3950,550,550,73.0,76,13.3,28,7508,55,34,95.32,41.27
Georgetown University,Yes,11115,2881,1390,71,93,5881,406,18300,7131,670,1700,91.0,92,7.2,27,19635,95,8234,25.92,48.25
Georgia Institute of Technology,No,7837,4527,2276,89,99,8528,654,6489,4438,795,1164,92.0,92,19.3,33,11271,70,3310,57.76,50.28
